meterName;armSkuName;tier;size;family;MemoryPreservingMaintenanceSupported;HyperVGenerations;CpuArchitectureType;LowPriorityCapable;PremiumIO;ACUs;EphemeralOSDiskSupported;EncryptionAtHostSupported;CapacityReservationSupported;AcceleratedNetworkingEnabled;RdmaEnabled;MaxNetworkInterfaces;UltraSSDAvailable;unit;os;unitPricePerUnit
E48 v3/E48s v3 Low Priority;Standard_E48_v3;Standard;E48_v3;standardEv3Family;TRUE;V1;x64;TRUE;FALSE;160;FALSE;FALSE;TRUE;TRUE;FALSE;8;null;10;Windows;1,5379
EC4as_v5;Standard_EC4as_v5;Standard;EC4as_v5;standardECASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;TRUE;FALSE;FALSE;2;TRUE;100;Linux;0,19136
E112ias v5 Low Priority;Standard_E112ias_v5;Standard;E112ias_v5;standardEIASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;3,5672
E8bs v5 Low Priority;Standard_E8bs_v5;Standard;E8bs_v5;standardEBSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;FALSE;TRUE;TRUE;TRUE;FALSE;4;TRUE;100;Windows;0,28587
M64ls;Standard_M64ls;Standard;M64ls;standardMSFamily;FALSE;V1,V2;x64;TRUE;TRUE;160;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Windows;6,4558
E2bs v5 Low Priority;Standard_E2bs_v5;Standard;E2bs_v5;standardEBSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;FALSE;TRUE;TRUE;TRUE;FALSE;2;TRUE;1000;Windows;0,071825
B8ms;Standard_B8ms;Standard;B8ms;standardBSFamily;TRUE;V1,V2;x64;FALSE;TRUE;null;TRUE;TRUE;TRUE;FALSE;FALSE;4;TRUE;10;Windows;0,2964
D8ps v5;Standard_D8ps_v5;Standard;D8ps_v5;standardDPSv5Family;TRUE;V2;Arm64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;4;TRUE;100;Linux;0,24726
E32pds v5;Standard_E32pds_v5;Standard;E32pds_v5;standardEPDSv5Family;TRUE;V2;Arm64;FALSE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;1;Windows;1,443
DC96ads v5 Low Priority;Standard_DC96ads_v5;Standard;DC96ads_v5;standardDCADSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;TRUE;TRUE;FALSE;FALSE;FALSE;8;TRUE;10;Windows;3,0004
D32d v4 Low Priority;Standard_D32d_v4;Standard;D32d_v4;standardDDv4Family;TRUE;V1,V2;x64;TRUE;FALSE;195;TRUE;TRUE;TRUE;TRUE;FALSE;8;null;100;Linux;0,29432
DC96as v5;Standard_DC96as_v5;Standard;DC96as_v5;standardDCASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;FALSE;FALSE;FALSE;8;TRUE;10;Linux;3,6829
E20a v4/E20as v4 Low Priority;Standard_E20a_v4;Standard;E20a_v4;standardEAv4Family;TRUE;V1,V2;x64;TRUE;FALSE;null;TRUE;TRUE;TRUE;TRUE;FALSE;8;null;100;Windows;0,6409
A8 v2 Low Priority;Standard_A8_v2;Standard;A8_v2;standardAv2Family;TRUE;V1;x64;TRUE;FALSE;100;FALSE;FALSE;TRUE;FALSE;FALSE;8;null;10;Windows;0,1651
E64-32as v5;Standard_E64-32as_v5;Standard;E64-32as_v5;standardEASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Linux;2,7846
NC24ads_A100_v4;Standard_NC24ads_A100_v4;Standard;NC24ads_A100_v4;StandardNCADSA100v4Family;FALSE;V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;2;TRUE;10;Linux;3,2981
E96s v5;Standard_E96s_v5;Standard;E96s_v5;standardESv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;FALSE;TRUE;TRUE;TRUE;FALSE;8;TRUE;10;Windows;7,6908
NV12s v2 Low Priority;Standard_NV12s_v2;Standard;NV12s_v2;standardNVSv2Family;FALSE;V1,V2;x64;FALSE;TRUE;null;TRUE;TRUE;FALSE;FALSE;FALSE;8;null;10;Linux;0,2119
D64lds v5;Standard_D64lds_v5;Standard;D64lds_v5;standardDLDSv5Family;TRUE;V1,V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Linux;2,652
